"","state","solution_level","fw_kg_per_capita","scenario","conversion_factor","diversion_potential_kg_per_capita"
"139","CT","All",187.787295,"baseline","high",43.4867168443104
"140","CT","All",187.787295,"baseline","low",21.7433584221552
"141","DE","Prevention",239.49684,"alternative","high",4.38512238934368
"142","DE","Prevention",239.49684,"alternative","low",2.19256119467184
"143","DE","Prevention",239.49684,"baseline","high",1.37424971507153
"144","DE","Prevention",239.49684,"baseline","low",0.687124857535763
"145","DE","Rescue",239.49684,"alternative","high",2.45812964915495
"146","DE","Rescue",239.49684,"alternative","low",1.22906482457747
"147","DE","Rescue",239.49684,"baseline","high",1.31134604291706
"148","DE","Rescue",239.49684,"baseline","low",0.655673021458528
"149","DE","Animal Feed",239.49684,"alternative","high",0.393236747312227
"150","DE","Animal Feed",239.49684,"alternative","low",0.196618373656113
"151","DE","Animal Feed",239.49684,"baseline","high",0.393236747312227
"152","DE","Animal Feed",239.49684,"baseline","low",0.196618373656113
"153","DE","Recycling",239.49684,"alternative","high",17.1450576975448
"154","DE","Recycling",239.49684,"alternative","low",8.57252884877238
"155","DE","Recycling",239.49684,"baseline","high",14.798978745715
"156","DE","Recycling",239.49684,"baseline","low",7.39948937285748
"157","DE","All",239.49684,"alternative","high",24.3815464833556
"158","DE","All",239.49684,"alternative","low",12.1907732416778
"159","DE","All",239.49684,"baseline","high",17.8778112510158
"160","DE","All",239.49684,"baseline","low",8.93890562550788
"161","FL","Prevention",267.619575,"alternative","high",0.796113113651649
"162","FL","Prevention",267.619575,"alternative","low",0.398056556825824
"163","FL","Prevention",267.619575,"baseline","high",0.247347604563896
"164","FL","Prevention",267.619575,"baseline","low",0.123673802281948
"165","FL","Rescue",267.619575,"alternative","high",2.50248143887556
"166","FL","Rescue",267.619575,"alternative","low",1.25124071943778
"167","FL","Rescue",267.619575,"baseline","high",1.36281626823082
"168","FL","Rescue",267.619575,"baseline","low",0.681408134115409
"169","FL","Animal Feed",267.619575,"alternative","high",3.26074109183476
"170","FL","Animal Feed",267.619575,"alternative","low",1.63037054591738
"171","FL","Animal Feed",267.619575,"baseline","high",3.26074109183476
"172","FL","Animal Feed",267.619575,"baseline","low",1.63037054591738
"173","FL","Recycling",267.619575,"alternative","high",19.4138065945775
"174","FL","Recycling",267.619575,"alternative","low",9.70690329728876
"175","FL","Recycling",267.619575,"baseline","high",16.8841752192984
"176","FL","Recycling",267.619575,"baseline","low",8.44208760964922
"177","FL","All",267.619575,"alternative","high",25.9731422389395
"178","FL","All",267.619575,"alternative","low",12.9865711194697
"179","FL","All",267.619575,"baseline","high",21.7550801839279
"180","FL","All",267.619575,"baseline","low",10.877540091964
"181","GA","Prevention",239.49684,"alternative","high",0.692421100310609
"182","GA","Prevention",239.49684,"alternative","low",0.346210550155304
"183","GA","Prevention",239.49684,"baseline","high",0.226852330047194
"184","GA","Prevention",239.49684,"baseline","low",0.113426165023597
"185","GA","Rescue",239.49684,"alternative","high",2.9641219072852
"186","GA","Rescue",239.49684,"alternative","low",1.4820609536426
"187","GA","Rescue",239.49684,"baseline","high",1.55478942119688
"188","GA","Rescue",239.49684,"baseline","low",0.777394710598441
"189","GA","Animal Feed",239.49684,"alternative","high",0.46791363092016
"190","GA","Animal Feed",239.49684,"alternative","low",0.23395681546008
"191","GA","Animal Feed",239.49684,"baseline","high",0.46791363092016
"192","GA","Animal Feed",239.49684,"baseline","low",0.23395681546008
"193","GA","Recycling",239.49684,"alternative","high",16.7022852911006
"194","GA","Recycling",239.49684,"alternative","low",8.3511426455503
"195","GA","Recycling",239.49684,"baseline","high",14.5369659897101
"196","GA","Recycling",239.49684,"baseline","low",7.26848299485505
"197","GA","All",239.49684,"alternative","high",20.8267419296166
"198","GA","All",239.49684,"alternative","low",10.4133709648083
"199","GA","All",239.49684,"baseline","high",16.7865213718743
"200","GA","All",239.49684,"baseline","low",8.39326068593717
"201","HI","Prevention",152.40708,"alternative","high",0.438855542781619
"202","HI","Prevention",152.40708,"alternative","low",0.219427771390809
"203","HI","Prevention",152.40708,"baseline","high",0.130022825915449
"204","HI","Prevention",152.40708,"baseline","low",0.0650114129577246
"205","HI","Rescue",152.40708,"alternative","high",1.49130140193868
"206","HI","Rescue",152.40708,"alternative","low",0.74565070096934
"207","HI","Rescue",152.40708,"baseline","high",0.8977233783368
"208","HI","Rescue",152.40708,"baseline","low",0.4488616891684
"209","HI","Animal Feed",152.40708,"alternative","high",1.60918839200138
"210","HI","Animal Feed",152.40708,"alternative","low",0.804594196000688
"211","HI","Animal Feed",152.40708,"baseline","high",1.60918839200138
